% MINI - Birds dataset
@RELATION Birds

@ATTRIBUTE Data STRING
@ATTRIBUTE Shape STRING
@ATTRIBUTE Label STRING

@DATA
'[179 160  84 ... 147 144 135]','(128, 128, 3)',vulturine_guineafowl
'[210 212 225 ... 230 230 230]','(128, 128, 3)',emperor_penguin
'[130 125  93 ... 159 151 105]','(128, 128, 3)',horned_sungem
'[ 81 102 105 ...  68 107 114]','(128, 128, 3)',double_brested_cormarant
'[ 98 110 126 ...  32  25  32]','(128, 128, 3)',common_loon
'[ 69  72  55 ... 118 109 100]','(128, 128, 3)',downy_woodpecker
'[255 253 252 ... 198 197 202]','(128, 128, 3)',fairy_bluebird
'[128 127  99 ... 127  82  59]','(128, 128, 3)',vulturine_guineafowl
'[145 140 108 ... 158 151 122]','(128, 128, 3)',horned_sungem
'[185 194 127 ... 122 110  52]','(128, 128, 3)',black_tail_crake
'[ 28 108  23 ...   3  72  51]','(128, 128, 3)',fairy_bluebird
'[ 90 112 161 ... 109 135 172]','(128, 128, 3)',osprey
'[157 188 234 ... 157 189 227]','(128, 128, 3)',osprey
'[197 192 163 ... 137 132 113]','(128, 128, 3)',horned_lark
'[177 196 210 ... 101 106 100]','(128, 128, 3)',white_necked_raven
'[107 126 141 ... 129 144 151]','(128, 128, 3)',common_loon
'[ 84 117  62 ... 219 223 222]','(128, 128, 3)',american_redstart
'[186 171 102 ... 173 154  98]','(128, 128, 3)',horned_lark
'[ 94 147 199 ... 101 153 201]','(128, 128, 3)',double_brested_cormarant
'[ 37  45   0 ... 102 133   4]','(128, 128, 3)',northern_parula
'[ 76 108  35 ... 131 120  54]','(128, 128, 3)',purple_finch
'[118  87  43 ... 125 100  59]','(128, 128, 3)',horned_sungem
'[66 74 35 ... 46 49 28]','(128, 128, 3)',northern_parula
'[151 190 221 ... 208 208 208]','(128, 128, 3)',emperor_penguin
'[149 114  76 ...  38  27  23]','(128, 128, 3)',townsends_warbler
'[176 195 163 ...  94 154  90]','(128, 128, 3)',vulturine_guineafowl
'[70 68 73 ... 93 88 94]','(128, 128, 3)',purple_finch
'[100  68  53 ...  50  29  12]','(128, 128, 3)',capped_heron
'[214 227 236 ... 194 193 191]','(128, 128, 3)',white_necked_raven
'[ 65  74  89 ... 167 152 111]','(128, 128, 3)',double_brested_cormarant
'[ 59  59  59 ... 131 129 134]','(128, 128, 3)',blue_heron
'[112 100  78 ... 126 109  81]','(128, 128, 3)',horned_lark
'[ 60  59  54 ...  82 107  49]','(128, 128, 3)',downy_woodpecker
'[157 127  63 ... 221 184 165]','(128, 128, 3)',white_necked_raven
'[177 177 125 ... 107 110  83]','(128, 128, 3)',horned_sungem
'[182 218 254 ...  43 132  68]','(128, 128, 3)',vulturine_guineafowl
'[111 132 153 ... 200 188 166]','(128, 128, 3)',emperor_penguin
'[110 121  61 ...  30  30  22]','(128, 128, 3)',fairy_bluebird
'[146 162 126 ... 149 159 134]','(128, 128, 3)',purple_finch
'[231 213 189 ... 206 188 164]','(128, 128, 3)',double_brested_cormarant
'[163 155 108 ...  86  94  96]','(128, 128, 3)',american_redstart
'[205 205 217 ... 230 224 210]','(128, 128, 3)',double_brested_cormarant
'[129 142 125 ... 117 130 102]','(128, 128, 3)',blue_heron
'[ 88 128 102 ...  75  86  72]','(128, 128, 3)',horned_sungem
'[243 252 223 ...  87  63  63]','(128, 128, 3)',black_tail_crake
'[76 80 19 ... 78 93 34]','(128, 128, 3)',blue_heron
'[111  95  95 ...  89  82  64]','(128, 128, 3)',purple_finch
'[173 142 113 ... 158 119  80]','(128, 128, 3)',vulturine_guineafowl
'[150 171  96 ... 131 154  76]','(128, 128, 3)',horned_sungem
'[ 36  40  15 ... 146 134  86]','(128, 128, 3)',cock_of_the_rock
'[165 164 162 ...  70 133 112]','(128, 128, 3)',american_redstart
'[ 90 118  69 ...  65  81  45]','(128, 128, 3)',scarlet_tanager
'[175 143  86 ... 129  89  54]','(128, 128, 3)',black_tail_crake
'[78 67 75 ... 54 68 68]','(128, 128, 3)',capped_heron
'[155 164 121 ... 133 129 130]','(128, 128, 3)',cock_of_the_rock
'[149 179 215 ... 157 185 222]','(128, 128, 3)',osprey
'[106 106 104 ...  49  60  54]','(128, 128, 3)',fairy_bluebird
'[ 98  88  87 ... 101 102  97]','(128, 128, 3)',northern_parula
'[172 174 111 ... 122 124  74]','(128, 128, 3)',black_tail_crake
'[132 133   3 ... 121 135  37]','(128, 128, 3)',american_redstart
'[43 43 43 ... 88 79 70]','(128, 128, 3)',american_redstart
'[114 133 111 ...  23  26  33]','(128, 128, 3)',white_necked_raven
'[ 89  95  59 ...  77 101   0]','(128, 128, 3)',cuban_tody
'[128 117 115 ...  88  85  68]','(128, 128, 3)',black_tail_crake
'[134 125 110 ... 110 108  95]','(128, 128, 3)',american_redstart
'[130 130 122 ...  40  31  16]','(128, 128, 3)',blue_heron
'[ 45  84   3 ... 150 168 110]','(128, 128, 3)',blue_heron
'[89 85 73 ... 47 48 34]','(128, 128, 3)',blue_heron
'[138 170 217 ... 141 174 219]','(128, 128, 3)',osprey
'[ 20  21  16 ... 240 239 221]','(128, 128, 3)',cuban_tody
'[61 69 54 ... 84 76 63]','(128, 128, 3)',cuban_tody
'[ 95  88  44 ... 214 218 227]','(128, 128, 3)',double_brested_cormarant
'[ 66 106   0 ... 203 219 206]','(128, 128, 3)',fairy_bluebird
'[167 146 125 ... 148 121  91]','(128, 128, 3)',vulturine_guineafowl
'[130 129 124 ... 158 164 162]','(128, 128, 3)',purple_finch
'[102 126 152 ... 190 189 185]','(128, 128, 3)',emperor_penguin
'[111 102  93 ... 118 140 151]','(128, 128, 3)',double_brested_cormarant
'[99 93 45 ... 84 80 97]','(128, 128, 3)',black_tail_crake
'[79 73 25 ... 66 62 14]','(128, 128, 3)',double_brested_cormarant
'[140 125 102 ... 193 176 150]','(128, 128, 3)',townsends_warbler
'[189 136 122 ... 184 189 185]','(128, 128, 3)',american_redstart
'[108 121  68 ...  64 120  71]','(128, 128, 3)',northern_parula
'[186 163 121 ... 124 130 144]','(128, 128, 3)',common_loon
'[106 111  89 ...  92  77  82]','(128, 128, 3)',osprey
'[ 49  48  46 ... 172 204 199]','(128, 128, 3)',black_tail_crake
'[185 180 186 ...  81 100  45]','(128, 128, 3)',townsends_warbler
'[ 78 163 220 ... 174 187 195]','(128, 128, 3)',emperor_penguin
'[222 163 133 ... 202 150 113]','(128, 128, 3)',vulturine_guineafowl
'[139 131 146 ... 155 178 106]','(128, 128, 3)',downy_woodpecker
'[33 28  9 ... 84 94 44]','(128, 128, 3)',northern_parula
'[ 13 119   8 ...  50 136  35]','(128, 128, 3)',fairy_bluebird
'[111  73  62 ...  36  32  20]','(128, 128, 3)',black_tail_crake
'[158 192 237 ... 200 215 234]','(128, 128, 3)',osprey
'[62 60 39 ... 47 51 26]','(128, 128, 3)',scarlet_tanager
'[106 114  37 ...  90 102  18]','(128, 128, 3)',fairy_bluebird
'[234 235 237 ... 229 230 234]','(128, 128, 3)',horned_lark
'[115 144 174 ... 121 141 166]','(128, 128, 3)',blue_heron
'[ 86 127 181 ... 214 219 223]','(128, 128, 3)',emperor_penguin
'[148 154 110 ... 171 154 136]','(128, 128, 3)',black_tail_crake
'[230 226 189 ... 184 201 231]','(128, 128, 3)',northern_parula
'[ 82 121 103 ...  63  96  85]','(128, 128, 3)',townsends_warbler
'[ 48  66  24 ... 144 157 140]','(128, 128, 3)',cock_of_the_rock
'[198 199 204 ... 216 214 219]','(128, 128, 3)',white_necked_raven
'[48 59 42 ... 25 42 32]','(128, 128, 3)',capped_heron
'[ 96 137  93 ...  88 106  30]','(128, 128, 3)',horned_sungem
'[113 129 145 ... 197 210 219]','(128, 128, 3)',emperor_penguin
'[126 148  99 ...  84  98  85]','(128, 128, 3)',cuban_tody
'[29 32 23 ... 53 49 38]','(128, 128, 3)',fairy_bluebird
'[ 70  81  77 ...  71 101 139]','(128, 128, 3)',blue_heron
'[80 83  2 ... 67 66 12]','(128, 128, 3)',common_loon
'[103  96  67 ... 192 170 131]','(128, 128, 3)',northern_parula
'[76 80 65 ... 48 66 52]','(128, 128, 3)',common_loon
'[84 93 38 ... 48 59 27]','(128, 128, 3)',northern_parula
'[156 182 195 ... 119 136 104]','(128, 128, 3)',scarlet_tanager
'[ 66 120 208 ...  82 120 217]','(128, 128, 3)',osprey
